Organism,Group,Niche
Dendrothele nivosa,A,NA
Heterobasidion annosum,C,Plant Pathogen
Stereum hirsutum,B,Wood Decay
Russula emetica,D,ECM
Lactarius deliciosus,D,ECM
Dendrothele microspora,B,Wood Decay
Auriscalpium orientale,E,Soil Saprotroph
Lactifluus rugatus,D,ECM
Heterobasidion occidentale,C,Plant Pathogen
Hericium coralloides,B,Wood Decay
Albatrellus sp,D,ECM
Hericium rajendrae,B,Wood Decay
Dentipellis fragilis,B,Wood Decay
Lactifluus pinguis,D,ECM
Gloeophyllum trabeum,B,Wood Decay
Lactifluus volemus,D,ECM
Auriscalpium microsporum,E,Soil Saprotroph
Peniophora sp,B,Wood Decay
Hericium erinaceus,B,Wood Decay
Echinodontium tinctorium,B,Wood Decay
Russula olivacea,D,ECM
Amylostereum chailletii,B,Wood Decay
Artomyces pyxidatus,E,Soil Saprotroph
Lactarius indigo,D,ECM
Heterobasidion parviporum,C,Plant Pathogen
Auriscalpium vulgare,E,Soil Saprotroph
Albatrellus ellisii,D,ECM
Hericium alpestre,B,Wood Decay
Vararia minispora,B,Wood Decay
Amylostereum areolatum,B,Wood Decay
Russula ochraleuca,D,ECM
Russula griseocarnosa,D,ECM
Lentinellus vulpinus,B,Wood Decay
