Organism,"AA9,CBM1","CBM1,GH74","CBM48,GH13",CE1,CE10,GH1,GH12,GH13,GH15,GH16,GH18,GH20,GH3,GH31,GH37,GH38,GH47,GH5,"GH5,GH9",GH51,GH6,GH7,GH95,GT1,GT15,GT2,GT20,GT22,GT24,GT3,GT33,GT35,GT39,GT4,GT48,GT5,GT50,GT57,GT66,GT69,GT76,GT8,"CBM42,GH54",GH105,GH28,GH29,GH30,GH32,GH43,GH76,GT17,GT21,GT58,GT59,PL4,"GH13,GH31",GT18,GT71,GT54,GH23,GT51
Auriscalpium orientale,7,1,2,2,1,31,1,6,6,4,11,2,17,3,2,2,4,8,5,2,1,5,1,5,2,24,3,3,1,7,1,1,4,10,6,5,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrothele microspora,9,1,2,6,5,44,2,7,0,16,13,4,26,4,2,2,9,15,7,2,1,7,4,8,4,22,4,4,1,6,1,1,3,9,6,7,1,3,1,1,0,1,3,2,1,2,4,1,3,1,2,1,1,1,6,0,0,0,0,0,0
Lactifluus rugatus,1,0,2,2,1,0,0,7,4,3,7,2,21,3,4,7,6,6,3,0,0,0,0,7,2,20,4,3,1,7,1,2,3,106,102,7,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterobasidion occidentale,6,1,1,2,0,31,1,5,4,6,10,4,24,4,1,3,7,0,6,4,0,3,1,10,6,17,2,3,1,7,1,1,4,11,4,6,1,2,1,1,1,3,0,3,1,3,0,2,0,0,1,1,0,1,1,1,0,0,0,0,0
Stereum hirsutum,5,2,2,4,3,42,3,11,2,10,12,4,27,5,2,2,4,12,6,2,1,5,1,15,4,23,2,4,1,6,1,1,3,7,3,9,1,3,1,1,1,3,0,1,2,3,2,1,4,0,1,1,1,1,3,1,7,1,0,0,0
Hericium coralloides,8,1,2,1,0,33,1,8,3,8,11,3,17,4,2,2,5,7,5,1,2,3,3,6,3,17,3,3,1,7,1,1,3,6,2,7,1,3,1,0,1,2,0,0,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Albatrellus sp,1,0,2,1,0,31,1,7,1,5,15,1,19,3,3,3,5,0,3,1,0,0,1,8,4,19,3,3,1,9,2,2,4,6,2,8,1,3,1,1,1,2,0,0,0,1,7,0,1,0,0,0,1,1,0,2,0,0,0,0,0
Hericium rajendrae,14,1,2,1,0,37,2,7,6,8,12,3,16,4,2,2,4,8,6,1,2,3,3,8,3,19,3,3,1,12,1,1,3,7,3,9,1,3,1,1,1,2,0,0,0,2,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0
Dentipellis fragilis,6,1,2,1,0,35,1,7,3,5,17,4,21,6,2,2,6,7,5,1,1,4,2,6,2,18,3,3,1,6,1,1,3,7,3,7,1,3,1,1,1,5,0,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Heterobasidion annosum,5,1,1,1,0,30,2,5,4,6,9,5,28,11,2,3,5,6,4,1,1,2,1,4,2,16,2,3,1,6,1,1,3,7,3,5,1,3,1,1,1,3,0,2,1,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
Lactifluus pinguis,3,0,3,1,0,0,0,6,7,5,6,7,16,5,2,5,2,5,2,0,0,0,0,6,2,20,5,2,1,8,1,1,5,31,25,8,1,3,1,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Gloeophyllum trabeum,2,1,2,1,0,28,1,6,1,8,8,3,20,4,2,2,3,12,6,3,0,0,1,8,4,21,3,3,1,6,1,1,3,7,4,7,1,3,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,0,0,0,0
Lactifluus volemus,4,0,3,2,1,0,0,6,11,5,8,7,21,4,5,6,3,4,2,0,0,0,0,9,4,25,4,2,2,9,1,1,6,10,3,11,1,5,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Russula emetica,4,0,4,0,0,0,0,11,3,8,9,2,24,4,4,4,3,8,4,0,0,0,0,12,6,33,5,6,2,11,2,1,6,11,4,13,2,7,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Auriscalpium microsporum,7,1,2,2,1,35,1,10,3,7,11,1,22,5,2,2,4,7,4,2,0,6,1,6,2,19,3,3,1,6,1,1,3,7,3,6,1,3,3,1,1,3,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Peniophora sp,9,1,2,0,0,37,1,4,1,14,14,5,22,5,2,2,4,13,5,4,1,4,3,14,8,23,3,3,2,6,1,1,3,7,3,8,1,3,1,1,1,1,1,2,1,1,3,0,10,0,1,0,1,1,5,0,2,0,0,0,0
Hericium erinaceus,13,1,2,1,0,35,2,9,3,8,11,3,18,5,2,2,5,7,5,1,2,3,2,5,1,18,3,3,1,15,1,1,3,7,3,7,1,3,1,1,1,4,0,0,0,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,0
Echinodontium tinctorium,10,2,2,2,1,28,1,4,3,8,9,4,23,4,2,3,4,7,4,2,0,8,1,8,2,23,3,4,1,6,1,1,3,7,3,6,1,3,1,1,0,2,0,1,0,1,4,0,0,0,1,1,0,1,1,0,2,0,0,0,0
Russula olivacea,4,0,2,5,4,0,0,5,2,4,6,1,14,3,2,3,5,4,2,0,0,0,0,8,4,16,3,2,1,6,1,1,3,12,8,7,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Amylostereum chailletii,11,3,2,1,0,34,4,6,2,8,10,3,21,7,2,2,4,8,4,3,1,9,1,6,2,17,3,4,1,6,1,1,3,8,3,7,1,3,1,1,1,2,0,2,0,1,1,0,1,0,0,0,1,1,3,0,1,0,0,0,0
Artomyces pyxidatus,5,1,2,3,2,29,1,6,7,6,6,2,19,2,2,2,4,7,5,1,1,3,1,6,2,19,4,3,1,6,1,1,3,7,3,6,1,3,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lactarius indigo,1,0,3,1,0,0,0,8,2,5,13,6,27,2,5,6,7,5,3,0,0,0,0,10,4,39,5,5,13,7,1,1,3,10,3,6,1,3,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Lactarius deliciosus,1,0,3,1,0,0,0,8,2,5,14,6,32,7,8,5,11,6,4,0,0,0,0,10,5,38,6,3,2,9,1,1,5,13,8,9,1,4,2,1,2,7,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0
Heterobasidion parviporum,6,1,1,1,0,31,3,5,3,7,10,4,21,5,2,2,5,0,5,2,1,2,1,4,2,20,3,2,1,6,1,1,3,7,3,7,1,4,1,1,1,3,0,1,1,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Auriscalpium vulgare,7,1,2,1,0,34,1,6,7,6,11,1,22,3,2,2,3,7,5,1,0,6,1,6,2,22,3,3,1,6,1,1,3,6,2,6,1,3,1,1,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Albatrellus ellisii,2,0,2,1,0,23,1,8,1,5,7,1,12,4,2,2,3,9,5,2,0,1,1,6,2,21,3,4,2,10,2,4,3,6,2,17,1,3,1,1,1,1,0,0,0,3,1,0,1,0,0,1,0,1,0,2,0,0,0,1,4
Hericium alpestre,9,1,2,1,0,32,2,7,3,8,10,4,22,5,4,2,4,8,6,1,2,3,4,6,3,18,2,4,1,10,1,3,3,7,3,8,1,3,1,1,1,5,0,0,0,4,2,0,0,0,0,0,1,1,3,1,0,0,0,0,0
Vararia minispora,6,1,2,1,0,33,2,5,1,11,10,2,24,5,2,3,6,15,5,5,1,3,1,12,4,22,3,3,1,6,1,1,3,6,2,7,1,3,1,1,0,1,0,2,0,1,2,1,2,0,1,1,1,1,2,0,2,0,0,0,0
Amylostereum areolatum,13,3,3,1,0,37,3,6,4,9,9,6,30,11,2,2,3,9,5,3,1,11,1,9,2,21,4,4,1,9,1,3,4,8,3,7,1,3,1,1,1,5,0,2,0,1,3,0,1,0,0,0,1,1,2,0,3,0,0,0,0
Russula ochraleuca,2,0,2,0,1,0,0,5,2,4,7,1,19,2,2,3,2,4,2,0,0,0,0,6,3,17,3,3,1,6,1,1,3,6,3,7,1,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Russula griseocarnosa,8,0,3,3,2,0,0,6,4,3,9,1,10,2,2,2,6,3,2,0,0,0,0,8,3,25,3,3,1,6,1,1,3,10,5,6,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Lentinellus vulpinus,5,1,2,1,0,31,1,6,8,6,8,1,17,2,2,2,3,7,5,1,1,4,1,5,2,18,3,3,1,6,1,1,3,6,3,6,1,3,1,1,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dendrothele nivosa,6,1,2,1,0,44,5,7,1,8,19,3,35,9,2,2,8,11,6,3,1,3,1,15,6,21,3,5,1,7,1,1,4,7,2,6,1,3,3,1,1,1,0,2,2,5,2,2,4,0,1,1,0,1,3,1,1,0,0,0,0
